word
e
labanakt
labanaktis
cakt
nagi
ui
capt
ei
oho
oi
ačiū
cha
fe
op
opa
vai
bakst
aha
ai
cit
aiman
ajajai
ak
cvakt
čikšt
valio
činkšt
et
aleliuja
deja
alio
kapt
dękui
kaukšt
dievaž
bis
din
dirst
brakšt
braukšt
bravo
dribt
bumbt
žūtbūt
